"","season","athlete_id"
"1","2002",9
"2","2002",24
"3","2002",26
"4","2002",42
"5","2002",63
"6","2002",136
"7","2002",194
"8","2002",246
"9","2002",264
"10","2002",301
"11","2002",349
"12","2002",402
"13","2002",429
"14","2002",469
"15","2002",552
"16","2002",566
"17","2002",592
"18","2002",609
"19","2002",655
"20","2002",662
"21","2002",703
"22","2002",714
"23","2002",800
"24","2002",813
"25","2002",841
"26","2002",868
"27","2002",881
"28","2002",883
"29","2002",913
"30","2002",933
"31","2003",9
"32","2003",18
"33","2003",63
"34","2003",110
"35","2003",220
"36","2003",242
"37","2003",264
"38","2003",349
"39","2003",407
"40","2003",429
"41","2003",510
"42","2003",516
"43","2003",532
"44","2003",552
"45","2003",566
"46","2003",609
"47","2003",656
"48","2003",662
"49","2003",692
"50","2003",738
"51","2003",800
"52","2003",813
"53","2003",841
"54","2003",868
"55","2003",881
"56","2003",883
"57","2003",904
"58","2003",933
"59","2003",974
"60","2003",1018
"61","2004",9
"62","2004",11
"63","2004",24
"64","2004",61
"65","2004",63
"66","2004",165
"67","2004",194
"68","2004",242
"69","2004",372
"70","2004",378
"71","2004",402
"72","2004",469
"73","2004",512
"74","2004",522
"75","2004",532
"76","2004",552
"77","2004",566
"78","2004",656
"79","2004",662
"80","2004",692
"81","2004",703
"82","2004",714
"83","2004",813
"84","2004",817
"85","2004",841
"86","2004",881
"87","2004",933
"88","2004",974
"89","2004",1016
"90","2004",1981
"91","2005",9
"92","2005",11
"93","2005",26
"94","2005",61
"95","2005",63
"96","2005",110
"97","2005",165
"98","2005",194
"99","2005",366
"100","2005",402
"101","2005",406
"102","2005",429
"103","2005",469
"104","2005",510
"105","2005",512
"106","2005",532
"107","2005",566
"108","2005",656
"109","2005",703
"110","2005",813
"111","2005",817
"112","2005",881
"113","2005",933
"114","2005",974
"115","2005",1007
"116","2005",1016
"117","2005",1018
"118","2005",1981
"119","2005",2011
"120","2005",2381
"121","2006",9
"122","2006",49
"123","2006",61
"124","2006",63
"125","2006",110
"126","2006",136
"127","2006",378
"128","2006",385
"129","2006",402
"130","2006",406
"131","2006",429
"132","2006",469
"133","2006",512
"134","2006",558
"135","2006",592
"136","2006",656
"137","2006",692
"138","2006",813
"139","2006",841
"140","2006",881
"141","2006",883
"142","2006",974
"143","2006",1007
"144","2006",1016
"145","2006",1018
"146","2006",1051
"147","2006",1966
"148","2006",1981
"149","2006",2011
"150","2006",2381
"151","2007",9
"152","2007",11
"153","2007",49
"154","2007",61
"155","2007",63
"156","2007",110
"157","2007",136
"158","2007",165
"159","2007",272
"160","2007",385
"161","2007",429
"162","2007",469
"163","2007",509
"164","2007",532
"165","2007",558
"166","2007",592
"167","2007",841
"168","2007",847
"169","2007",974
"170","2007",976
"171","2007",1007
"172","2007",1014
"173","2007",1034
"174","2007",1767
"175","2007",1981
"176","2007",2166
"177","2007",2381
"178","2007",2394
"179","2007",2444
"180","2007",2763
"181","2008",9
"182","2008",11
"183","2008",49
"184","2008",110
"185","2008",165
"186","2008",194
"187","2008",242
"188","2008",272
"189","2008",308
"190","2008",378
"191","2008",469
"192","2008",558
"193","2008",592
"194","2008",662
"195","2008",692
"196","2008",808
"197","2008",813
"198","2008",841
"199","2008",862
"200","2008",976
"201","2008",1007
"202","2008",1018
"203","2008",1708
"204","2008",1778
"205","2008",1966
"206","2008",1995
"207","2008",2166
"208","2008",2444
"209","2008",2760
"210","2008",3005
"211","2009",9
"212","2009",11
"213","2009",25
"214","2009",61
"215","2009",63
"216","2009",110
"217","2009",136
"218","2009",165
"219","2009",308
"220","2009",348
"221","2009",469
"222","2009",703
"223","2009",813
"224","2009",841
"225","2009",862
"226","2009",1007
"227","2009",1013
"228","2009",1721
"229","2009",1765
"230","2009",1767
"231","2009",1966
"232","2009",2178
"233","2009",2381
"234","2009",2444
"235","2009",2760
"236","2009",2782
"237","2009",3196
"238","2009",3204
"239","2009",3431
"240","2009",3450
"241","2010",9
"242","2010",63
"243","2010",165
"244","2010",272
"245","2010",308
"246","2010",378
"247","2010",429
"248","2010",469
"249","2010",703
"250","2010",813
"251","2010",841
"252","2010",1007
"253","2010",1013
"254","2010",1018
"255","2010",1767
"256","2010",1966
"257","2010",1999
"258","2010",2178
"259","2010",2426
"260","2010",2444
"261","2010",2754
"262","2010",2760
"263","2010",2795
"264","2010",2987
"265","2010",3192
"266","2010",3202
"267","2010",3428
"268","2010",3450
"269","2010",3975
"270","2010",3997
"271","2011",9
"272","2011",61
"273","2011",63
"274","2011",110
"275","2011",165
"276","2011",272
"277","2011",308
"278","2011",378
"279","2011",429
"280","2011",841
"281","2011",1018
"282","2011",2394
"283","2011",2423
"284","2011",2429
"285","2011",2751
"286","2011",2753
